source_sheet,source_row,original_keyword,normalized_name,candidate_sido,candidate_sigungu,candidate_parent,region_type,evidence,confidence,status,unresolved_reason,reason
경북,16,영덕군,영덕군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,17,청도군,청도군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,18,고령군,고령군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,19,성주군,성주군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,20,칠곡군,칠곡군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,21,예천군,예천군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,22,봉화군,봉화군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,23,울진군,울진군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,24,울릉군,울릉군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경남,2,창원시 ,창원시,경상남도,,경남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
